variable,auc,mutual_info,mw_effect,mw_pvalue,boruta,rank_auc,rank_mutual_info,rank_boruta,rank_mw_pvalue,mean_rank,overall_rank
V162,0.504933713672763,0.0,0.009867427345526036,0.5457195389346182,333,295.0,378.5,359.5,295.0,258.3864298847336,407
V431,0.5004459302742336,0.0067946299752683625,0.0008918605484671271,0.9564499749970456,431,484.0,95.0,457.5,484.0,259.3641124937493,408
V184,0.5021208488643578,0.0,0.004241697728715632,0.7950790591906485,227,407.0,378.5,253.5,407.0,259.9487697647977,409
V144,0.5051388383988368,0.0,0.01027767679767344,0.5291484695032331,348,287.0,378.5,374.0,287.0,260.00728711737577,410
V350,0.5037388061420935,0.0,0.007477612284186974,0.6470549615313008,280,355.0,378.5,306.5,355.0,260.16176374038287,411
V165,0.5057582926710632,0.0,0.011516585342126184,0.48070737034217903,374,262.0,378.5,400.0,262.0,260.2451768425856,412
V241,0.5012510688246257,0.006593640319126903,0.0025021376492513348,0.8782350947404769,461,451.0,105.0,487.0,451.0,260.9695587736851,413
V99,0.5076142554324452,0.0,0.01522851086489041,0.35110502462449966,436,204.0,378.5,462.0,204.0,261.21277625615613,414
V28,0.500797138366068,0.0,0.0015942767321359685,0.92223545094989,177,467.0,378.5,203.5,467.0,262.48055886273744,415
V332,0.5078878617363345,0.0,0.015775723472668757,0.3340671488495429,452,194.0,378.5,478.0,194.0,262.7085167872124,416
V20,0.5025307783091323,0.0,0.005061556618264573,0.7566208699696182,257,391.0,378.5,283.5,391.0,263.4391552174924,417
V264,0.503648564062916,0.0,0.007297128125832053,0.6550150043136858,293,356.0,378.5,319.0,356.0,263.5387537510784,418
V68,0.5033523972392324,0.0,0.006704794478464837,0.6814118100442912,286,363.0,378.5,312.5,363.0,263.67035295251105,419
V206,0.502192850523276,0.0,0.004385701046552115,0.7882850004209649,244,405.0,378.5,270.5,405.0,263.69707125010524,420
V376,0.5075062529440679,0.0,0.01501250588813563,0.3579794811735988,442,208.0,378.5,468.0,208.0,263.7144948702934,421
V386,0.5015625960022119,0.00391345494606532,0.003125192004423738,0.848246059628798,437,439.0,155.0,463.0,439.0,264.4620615149072,422
V245,0.501417792665943,0.0,0.0028355853318859925,0.8621609160016626,208,444.0,378.5,234.5,444.0,264.46554022900045,423
V379,0.5021078885657525,0.0019240771102790877,0.004215777131505116,0.7963036583155049,422,409.0,201.0,448.0,409.0,264.6990759145789,424
V24,0.5074454515432036,0.0,0.014890903086407059,0.36188655133670433,444,212.0,378.5,470.0,212.0,265.2154716378342,425
V92,0.5044353021893625,0.0,0.008870604378724889,0.587025984746346,329,328.0,378.5,355.5,328.0,265.6467564961866,426
V284,0.5061883025784915,0.0,0.0123766051569828,0.44855594869056303,405,253.0,378.5,431.0,253.0,265.73713898717267,427
V423,0.5029011868433448,0.0,0.005802373686689788,0.7223785254486069,284,374.0,378.5,310.5,374.0,265.93059463136217,428
V473,0.5071254441702338,0.0,0.014250888340467394,0.3828877858133872,441,219.0,378.5,467.0,219.0,266.22072194645335,429
V197,0.5055121269994061,0.0,0.011024253998812128,0.49966327970890045,389,274.0,378.5,415.0,274.0,266.9999158199272,430
V52,0.5048995528856985,0.0,0.009799105771396865,0.5485040250860522,366,297.0,378.5,392.5,297.0,267.1371260062715,431
V252,0.5037624866876933,0.0,0.007524973375386601,0.6449727791087272,310,354.0,378.5,336.0,354.0,267.28624319477717,432
V47,0.5009493018719151,0.005091559455934647,0.0018986037438302183,0.9074525915643985,448,461.0,134.0,474.0,461.0,267.4768631478911,433
V430,0.5064331082188134,0.0,0.012866216437626754,0.4308114915602015,429,242.0,378.5,455.5,242.0,269.10770287289006,434
V219,0.5000236805455998,0.007061520891128437,4.7361091199515926e-05,0.9976861864588099,458,499.0,93.0,484.5,499.0,269.3744215466147,435
V417,0.5062486239682962,0.0,0.012497247936592348,0.44414550436257094,424,251.0,378.5,450.5,251.0,270.1110363760906,436
V418,0.5001411232514796,0.0009930151897432626,0.0002822465029594934,0.9862115890450971,328,496.0,233.0,354.0,496.0,270.99655289726127,437
V90,0.5007902582075491,0.0,0.0015805164150981543,0.9229045405057813,221,469.0,378.5,247.5,469.0,273.9807261351265,438
